step,S,I,R
201,0.0,0.0004,0.9996
202,0.0,0.0004,0.9996
203,0.0,0.0004,0.9996
204,0.0,0.0004,0.9996
205,0.0,0.0004,0.9996
206,0.0,0.0004,0.9996
207,0.0,0.0004,0.9996
208,0.0,0.0004,0.9996
209,0.0,0.0004,0.9996
210,0.0,0.0004,0.9996
211,0.0,0.0004,0.9996
212,0.0,0.0004,0.9996
213,0.0,0.0004,0.9996
214,0.0,0.0004,0.9996
215,0.0,0.0004,0.9996
216,0.0,0.0004,0.9996
217,0.0,0.0004,0.9996
218,0.0,0.0004,0.9996
219,0.0,0.0,1.0
